epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.868,1.21254,3.1784,1.59605,0.66453,0.21714,0.23168,0.14109,1.18481,2.72411,1.73552,0.000254541,0.000254541,0.000254541
2,493.427,1.22646,2.54509,1.53742,0.72616,0.26551,0.32148,0.1763,1.15314,3.02954,1.69261,0.000477156,0.000477156,0.000477156
3,769.49,1.19525,2.32089,1.51695,0.54437,0.41814,0.40217,0.23284,1.12983,2.3542,1.63602,0.000665936,0.000665936,0.000665936
4,1020.68,1.16465,2.19733,1.48625,0.55701,0.40932,0.42524,0.24119,1.062,2.22396,1.56852,0.000616738,0.000616738,0.000616738
5,1245.45,1.10796,2.08317,1.44536,0.62533,0.50056,0.5145,0.31969,1.04197,2.11237,1.52194,0.000565984,0.000565984,0.000565984
6,1465.86,1.01235,2.30955,1.53225,0.61186,0.51409,0.50221,0.34583,0.92554,1.94702,1.42526,0.00051523,0.00051523,0.00051523
7,1687.04,0.91146,2.04025,1.42851,0.58007,0.50619,0.55872,0.38963,0.90523,1.82779,1.30955,0.000464476,0.000464476,0.000464476
8,1911.75,0.88627,1.89898,1.40505,0.58208,0.64922,0.61998,0.48782,0.77265,1.52503,1.21451,0.000413722,0.000413722,0.000413722
9,2136.33,0.85124,1.74582,1.38562,0.59489,0.56597,0.6184,0.46648,0.80338,1.57822,1.23387,0.000362968,0.000362968,0.000362968
10,2356.67,0.7828,1.56767,1.32043,0.6758,0.57623,0.66238,0.50322,0.69984,1.45412,1.15936,0.000312214,0.000312214,0.000312214
11,2577.26,0.77318,1.55155,1.32133,0.74305,0.60266,0.67465,0.544,0.64386,1.36309,1.12891,0.00026146,0.00026146,0.00026146
12,2811.55,0.72026,1.40708,1.26874,0.67396,0.74928,0.72484,0.60608,0.59459,1.27399,1.07568,0.000210706,0.000210706,0.000210706
13,3041.34,0.67718,1.29372,1.23754,0.68383,0.69928,0.70937,0.58422,0.61921,1.21709,1.11711,0.000159952,0.000159952,0.000159952
14,3262.23,0.6417,1.23909,1.19589,0.72632,0.71227,0.7499,0.63155,0.56614,1.16975,1.05687,0.000109198,0.000109198,0.000109198
15,3482.74,0.64103,1.16855,1.21297,0.8007,0.70858,0.76554,0.63924,0.56533,1.15167,1.05397,5.8444e-05,5.8444e-05,5.8444e-05
